Rank,Infinitiv,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präsens_wir,Präsens_ihr,Präsens_Sie,Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*
2309,mobilisieren,mobilisiere,mobilisierst,mobilisiert,,,,mobilisierte,mobilisiert,mobilisierte,mobilisiere,mobilisier,,mobilisiert,,haben,
2310,missachten,missachte,missachtest,missachtet,,,,missachtete,missachtet,missachtete,missachte,,,missachtet,,haben,
2311,widerlegen,widerlege,widerlegst,widerlegt,,,,widerlegte,widerlegt,widerlegte,widerlege,,,widerlegt,,haben,
2312,lallen,lalle,lallst,lallt,,,,lallte,gelallt,lallte,lall,lalle,,lallt,,haben,
2313,röcheln,röchle,röchelst,röchelt,,,,röchelte,geröchelt,röchelte,röchle,,,röchelt,,haben,
2314,kohlen,kohle,kohlst,kohlt,,,,kohlte,gekohlt,kohlte,kohl,kohle,,kohlt,,haben,
2315,rüsten,rüste,rüstest,rüstet,,,,rüstete,gerüstet,rüstete,rüste,,,rüstet,,haben,
2316,erstechen,ersteche,erstichst,ersticht,,,,erstach,erstochen,erstäche,erstich,,,erstecht,,haben,
2317,vorführen,führe vor,führst vor,führt vor,,,,führte vor,vorgeführt,führte vor,führ vor,führe vor,,führt vor,,haben,
2318,aufgreifen,greife auf,greifst auf,greift auf,,,,griff auf,aufgegriffen,griffe auf,greife auf,greif auf,,greift auf,,haben,
2319,vermerken,vermerke,vermerkst,vermerkt,,,,vermerkte,vermerkt,vermerkte,vermerk,vermerke,,vermerkt,,haben,
2320,entladen,entlade,entlädst,entlädt,,,,entlud,entladen,entlüde,entlad,entlade,,entladet,,haben,
2321,vergöttern,vergöttere,vergötterst,vergöttert,,,,vergötterte,vergöttert,vergötterte,vergötter,vergöttere,,vergöttert,,haben,
2322,fluten,‚Äì,‚Äì,flutet,,,,‚Äì,geflutet,‚Äì,‚Äì,,,‚Äì,,sein,
2323,tasten,taste,tastest,tastet,,,,tastete,getastet,tastete,tast,taste,,tastet,,haben,
2324,abhaken,hake ab,hakst ab,hakt ab,,,,hakte ab,abgehakt,hakte ab,hak ab,hake ab,,hakt ab,,haben,
2325,stiefeln,stiefle,stiefelst,stiefelt,,,,stiefelte,gestiefelt,stiefelte,stiefle,stiefele,,stiefelt,,sein,haben
2326,einwerfen,werfe ein,wirfst ein,wirft ein,,,,warf ein,eingeworfen,würfe ein,wirf ein,,,werft ein,,haben,
2327,erringen,erringe,erringst,erringt,,,,errang,errungen,erränge,erring,erringe,,erringt,,haben,
2328,widerrufen,widerrufe,widerrufst,widerruft,,,,widerrief,widerrufen,widerriefe,widerrufe,,,widerruft,,haben,
2329,abräumen,räume ab,räumst ab,räumt ab,,,,räumte ab,abgeräumt,räumte ab,räume ab,räum ab,,räumt ab,,haben,
2330,austrocknen,trockne aus,trocknest aus,trocknet aus,,,,trocknete aus,ausgetrocknet,trocknete aus,trockne aus,,,trocknet aus,,haben,sein
2331,zuordnen,ordne zu,ordnest zu,ordnet zu,,,,ordnete zu,zugeordnet,ordnete zu,ordne zu,,,ordnet zu,,haben,
2332,frisieren,frisiere,frisierst,frisiert,,,,frisierte,frisiert,frisierte,frisiere,frisier,,frisiert,,haben,
2333,faxen,faxe,faxt,faxt,,,,faxte,gefaxt,faxte,fax,faxe,,faxt,,haben,
2334,klumpen,-,-,klumpt,,,,klumpte,geklumpt,klumpte,-,,,-,,haben,
2335,erdrosseln,erdrossele,erdrosselst,erdrosselt,,,,erdrosselte,erdrosselt,erdrosselte,erdrossle,erdrossele,,erdrosselt,,haben,
2336,zuschreiben,schreibe zu,schreibst zu,schreibt zu,,,,schrieb zu,zugeschrieben,schriebe zu,schreibe zu,schreib zu,,schreibt zu,,haben,
2337,schwanken,schwanke,schwankst,schwankt,,,,schwankte,geschwankt,schwankte,schwank,schwanke,,schwankt,,sein,haben
2338,vergreifen,vergreife,vergreifst,vergreift,,,,vergriff,vergriffen,vergriffe,vergreif,,,vergreift,,haben,
2339,nachstellen,stelle nach,stellst nach,stellt nach,,,,stellte nach,nachgestellt,stellte nach,stell nach,stelle nach,,stellt nach,,haben,
2340,umkreisen,umkreise,umkreist,umkreist,,,,umkreiste,umkreist,umkreiste,umkreis,umkreise,,umkreist,,haben,
2341,besänftigen,besänftige,besänftigst,besänftigt,,,,besänftigte,besänftigt,besänftigte,besänftige,,,besänftigt,,haben,
2342,freihalten,halte frei,hältst frei,hält frei,,,,hielt frei,freigehalten,hielte frei,halt frei,halte frei,,haltet frei,,haben,
2343,anwerben,werbe an,wirbst an,wirbt an,,,,warb an,angeworben,würbe an,wirb an,,,werbt an,,haben,
2344,antreffen,treffe an,triffst an,trifft an,,,,traf an,angetroffen,träfe an,triff an,,,trefft an,,haben,
2345,auswechseln,wechsle aus,wechselst aus,wechselt aus,,,,wechselte aus,ausgewechselt,wechselte aus,wechsel aus,wechsle aus,,wechselt aus,,haben,
2346,anpacken,packe an,packst an,packt an,,,,packte an,angepackt,packte an,pack an,packe an,,packt an,,haben,
2347,versteigern,versteigere,versteigerst,versteigert,,,,versteigerte,versteigert,versteigerte,versteigere,,,versteigert,,haben,
2348,türmen,türme,türmst,türmt,,,,türmte,getürmt,türmte,türm,türme,,türmt,,sein,
2349,verschwören,verschwöre,verschwörst,verschwört,,,,verschwor,verschworen,verschwor,verschwör,verschwöre,,verschwört,,haben,
2350,importieren,importiere,importierst,importiert,,,,importierte,importiert,importierte,importiere,importier,,importiert,,haben,
2351,abschrecken,schrecke ab,schreckst ab,schreckt ab,,,,schreckte ab,abgeschreckt,schreckte ab,schreck ab,,,schreckt ab,,haben,
2352,häuten,häute,häutest,häutet,,,,häutete,gehäutet,häutete,häut,häute,,häutet,,haben,
2353,schnupfen,schnupfe,schnupfst,schnupft,,,,schnupfte,geschnupft,schnupfte,schnupf,,,schnupft,,haben,
2354,begünstigen,begünstige,begünstigst,begünstigt,,,,begünstigte,begünstigt,begünstigte,begünstige,,,begünstigt,,haben,
2355,schlitzen,schlitze,schlitzt,schlitzt,,,,schlitzte,geschlitzt,schlitzte,schlitz,schlitze,,schlitzt,,haben,
2356,aufsammeln,sammle auf,sammelst auf,sammelt auf,,,,sammelte auf,aufgesammelt,sammelte auf,sammle auf,,,sammelt auf,,haben,
2357,gackern,gackere,gackerst,gackert,,,,gackerte,gegackert,gackerte,gackere,,,gackert,,haben,
2358,meditieren,meditiere,meditierst,meditiert,,,,meditierte,meditiert,meditierte,meditier,meditiere,,meditiert,,haben,
2359,kaputtmachen,mache kaputt,machst kaputt,macht kaputt,,,,machte kaputt,kaputtgemacht,machte kaputt,mach kaputt,mache kaputt,,macht kaputt,,haben,
2360,beleuchten,beleuchte,beleuchtest,beleuchtet,,,,beleuchtete,beleuchtet,beleuchtete,beleuchte,,,beleuchtet,,haben,
2361,gurken,gurke,gurkst,gurkt,,,,gurkte,gegurkt,gurkte,gurk,gurke,,gurkt,,sein,
2362,zuziehen,ziehe zu,ziehst zu,zieht zu,,,,zog zu,zugezogen,zöge zu,zieh zu,ziehe zu,,zieht zu,,haben,sein
2363,abtauchen,tauche ab,tauchst ab,taucht ab,,,,tauchte ab,abgetaucht,tauchte  ab,tauch ab,tauche ab,,taucht ab,,sein,
2364,schachteln,schachtle,schachtelst,schachtelt,,,,schachtelte,geschachtelt,schachtelte,schachtle,schachtele,,schachtelt,,haben,
2365,integrieren,integriere,integrierst,integriert,,,,integrierte,integriert,integrierte,integriere,integrier,,integriert,,haben,
2366,entwenden,entwende,entwendest,entwendet,,,,entwendete,entwendet,entwendete,entwende,,,entwendet,,haben,
2367,schänden,schände,schändest,schändet,,,,schändete,geschändet,schändete,schände,,,schändet,,haben,
2368,wegblasen,blase weg,bläst weg,bläst weg,,,,blies weg,weggeblasen,bliese weg,blas weg,blase weg,,blast weg,,haben,
2369,entfalten,entfalte,entfaltest,entfaltet,,,,entfaltete,entfaltet,entfaltete,entfalt,entfalte,,entfaltet,,haben,
2370,kreieren,kreiere,kreierst,kreiert,,,,kreierte,kreiert,kreierte,kreiere,kreier,,kreiert,,haben,
2371,zollen,zolle,zollst,zollt,,,,zollte,gezollt,zollte,zolle,,,zollt,,haben,
2372,geleiten,geleite,geleitest,geleitet,,,,geleitete,geleitet,geleitete,geleite,geleit,,geleitet,,haben,
2373,unterkommen,komme unter,kommst unter,kommt unter,,,,kam unter,untergekommen,käme unter,komm unter,komme unter,,kommt unter,,sein,
2374,dichtmachen,mache dicht,machst dicht,macht dicht,,,,machte dicht,dichtgemacht,machte dicht,mach dicht,mache dicht,,macht dicht,,haben,
2375,kribbeln,kribble,kribbelst,kribbelt,,,,kribbelte,gekribbelt,kribbelte,kribble,,,kribbelt,,haben,sein
2376,umschreiben,umschreibe,umschreibst,umschreibt,,,,umschrieb,umschrieben,umschriebe,umschreibe,,,umschreibt,,haben,
2377,ausfragen,frage aus,fragst aus,fragt aus,,,,fragte aus,ausgefragt,fragte aus,frag aus,frage aus,,fragt aus,,haben,
2378,ochsen,ochse,ochst,ochst,,,,ochste,geochst,ochste,ochs,ochse,,ochst,,haben,
2379,schlürfen,schlürfe,schlürfst,schlürft,,,,schlürfte,geschlürft,schlürfte,schlürfe,schlürf,,schlürft,,haben,
2380,amputieren,amputiere,amputierst,amputiert,,,,amputierte,amputiert,amputierte,amputiere,amputier,,amputiert,,haben,
2381,abwechseln,wechsel ab,wechselst ab,wechselt ab,,,,wechselte ab,abgewechselt,wechselte ab,wechsel ab,,,wechselt ab,,haben,
2382,anbinden,binde an,bindest an,bindet an,,,,band an,angebunden,bände an,bind an,binde an,,bindet an,,haben,
2383,eindämmen,dämme ein,dämmst ein,dämmt ein,,,,dämmte ein,eingedämmt,dämmte ein,dämm ein,dämme ein,,dämmt ein,,haben,
2384,tönen,töne,tönst,tönt,,,,tönte,getönt,tönte,tön,töne,,tönt,tönet,haben,
2385,löchern,löchere,löcherst,löchert,,,,löcherte,gelöchert,löcherte,löcher,löchere,,löchert,,haben,
2386,würzen,würze,würzt,würzt,,,,würzte,gewürzt,würzte,würze,,,würzt,,haben,
2387,ausschlagen,schlage aus,schlägst aus,schlägt aus,,,,schlug aus,ausgeschlagen,schlüge aus,schlag aus,,,schlagt aus,,haben,sein
2388,versüßen,versüße,versüßt,versüßt,,,,versüßte,versüßt,versüßte,versüß,versüße,,versüßt,,haben,
2389,weitersuchen,suche weiter,suchst weiter,sucht weiter,,,,suchte weiter,weitergesucht,suchte weiter,such weiter,suche weiter,,sucht weiter,,haben,
2390,unterlassen,unterlasse,unterlässt,unterlässt,,,,unterließ,unterlassen,unterließe,unterlass,,,unterlasst,,haben,
2391,aufbrauchen,brauche auf,brauchst auf,braucht auf,,,,brauchte auf,aufgebraucht,brauchte auf,brauche auf,,,braucht auf,,haben,
2392,reflektieren,reflektiere,reflektierst,reflektiert,,,,reflektierte,reflektiert,reflektierte,reflektiere,reflektier,,reflektiert,,haben,
2393,grollen,grolle,grollst,grollt,,,,grollte,gegrollt,grollte,groll,grolle,,grollt,,haben,
2394,jucken,jucke,juckst,juckt,,,,juckte,gejuckt,juckte,juck,jucke,,juckt,,haben,
2395,kurven,kurve,kurvst,kurvt,,,,kurvte,gekurvt,kurvte,kurv,kurve,,kurvt,,sein,haben
2396,zerfleischen,zerfleische,zerfleischst,zerfleischt,,,,zerfleischte,zerfleischt,zerfleischte,zerfleisch,zerfleische,,zerfleischt,,haben,
2397,booten,boote,bootest,bootet,,,,bootete,gebootet,bootete,boot,boote,,bootet,,haben,
2398,mitgeben,gebe mit,gibst mit,gibt mit,,,,gab mit,mitgegeben,gäbe mit,gib mit,,,gebt mit,,haben,
2399,einfädeln,fädele ein,fädelst ein,fädelt ein,,,,fädelte ein,eingefädelt,fädelte ein,fädele ein,fädle ein,,fädelt ein,,haben,
2400,ausbluten,blute aus,blutest aus,blutet aus,,,,blutete aus,ausgeblutet,blutete aus,blute aus,,,blutet aus,,haben,sein
2401,erhitzen,erhitze,erhitzt,erhitzt,,,,erhitzte,erhitzt,erhitzte,erhitz,erhitze,,erhitzt,,haben,
2402,etablieren,etabliere,etablierst,etabliert,,,,etablierte,etabliert,etablierte,etablier,etabliere,,etabliert,,haben,
2403,touren,toure,tourst,tourt,,,,tourte,getourt,tourte,toure,,,tourt,,haben,sein
2404,einstehen,stehe ein,stehst ein,steht ein,,,,stand ein,eingestanden,stünde ein,stehe ein,,,steht ein,,haben,sein
2405,symbolisieren,symbolisiere,symbolisierst,symbolisiert,,,,symbolisierte,symbolisiert,symbolisierte,symbolisier,symbolisiere,,symbolisiert,,haben,
2406,befehligen,befehlige,befehligst,befehligt,,,,befehligte,befehligt,befehligte,befehlig,befehlige,,befehligt,,haben,
2407,deponieren,deponiere,deponierst,deponiert,,,,deponierte,deponiert,deponierte,deponiere,deponier,,deponiert,,haben,
2408,fohlen,-,-,fohlt,,,,fohlte,gefohlt,fohlte,-,,,-,,haben,
2409,eskalieren,eskaliere,eskalierst,eskaliert,,,,eskalierte,eskaliert,eskalierte,eskaliere,eskalier,,eskaliert,,haben,sein
